State,County,fips,Year,Female life expectancy (years),"Female life expectancy (national, years)","Female life expectancy (state, years)",Male life expectancy (years),"Male life expectancy (national, years)","Male life expectancy (state, years)"
Indiana,Delaware County,18035,2010,79.25,80.79,79.56,73.70,76.07,74.75
Indiana,Dubois County,18037,2010,80.29,80.79,79.56,76.92,76.07,74.75
Indiana,Elkhart County,18039,2010,80.92,80.79,79.56,76.44,76.07,74.75
Indiana,Fayette County,18041,2010,76.80,80.79,79.56,72.84,76.07,74.75
Indiana,Floyd County,18043,2010,78.81,80.79,79.56,74.38,76.07,74.75
Indiana,Fountain County,18045,2010,79.59,80.79,79.56,73.85,76.07,74.75
Indiana,Franklin County,18047,2010,80.36,80.79,79.56,75.18,76.07,74.75
Indiana,Fulton County,18049,2010,78.79,80.79,79.56,74.21,76.07,74.75
Indiana,Gibson County,18051,2010,79.68,80.79,79.56,75.04,76.07,74.75
Indiana,Grant County,18053,2010,78.68,80.79,79.56,72.31,76.07,74.75
Indiana,Greene County,18055,2010,79.02,80.79,79.56,73.63,76.07,74.75
Indiana,Hamilton County,18057,2010,83.21,80.79,79.56,79.20,76.07,74.75
Indiana,Hancock County,18059,2010,79.41,80.79,79.56,76.22,76.07,74.75
Indiana,Harrison County,18061,2010,80.15,80.79,79.56,74.40,76.07,74.75
Indiana,Hendricks County,18063,2010,81.72,80.79,79.56,77.55,76.07,74.75
Indiana,Henry County,18065,2010,78.90,80.79,79.56,73.44,76.07,74.75
Indiana,Howard County,18067,2010,78.72,80.79,79.56,74.16,76.07,74.75
Indiana,Huntington County,18069,2010,80.26,80.79,79.56,75.09,76.07,74.75
Indiana,Jackson County,18071,2010,78.84,80.79,79.56,73.18,76.07,74.75
Indiana,Jasper County,18073,2010,79.57,80.79,79.56,74.48,76.07,74.75
Indiana,Jay County,18075,2010,78.94,80.79,79.56,73.10,76.07,74.75
Indiana,Jefferson County,18077,2010,77.66,80.79,79.56,73.38,76.07,74.75
Indiana,Jennings County,18079,2010,78.12,80.79,79.56,72.75,76.07,74.75
Indiana,Johnson County,18081,2010,80.68,80.79,79.56,76.12,76.07,74.75
Indiana,Knox County,18083,2010,78.55,80.79,79.56,73.15,76.07,74.75
Indiana,Kosciusko County,18085,2010,80.36,80.79,79.56,75.53,76.07,74.75
Indiana,LaGrange County,18087,2010,79.84,80.79,79.56,75.29,76.07,74.75
Indiana,Lake County,18089,2010,79.24,80.79,79.56,73.23,76.07,74.75
Indiana,LaPorte County,18091,2010,78.89,80.79,79.56,73.59,76.07,74.75
Indiana,Lawrence County,18093,2010,78.96,80.79,79.56,72.92,76.07,74.75
Indiana,Madison County,18095,2010,78.00,80.79,79.56,72.96,76.07,74.75
Indiana,Marion County,18097,2010,78.51,80.79,79.56,73.23,76.07,74.75
Indiana,Marshall County,18099,2010,80.08,80.79,79.56,76.19,76.07,74.75
Indiana,Martin County,18101,2010,79.23,80.79,79.56,73.69,76.07,74.75
Indiana,Miami County,18103,2010,79.39,80.79,79.56,75.20,76.07,74.75
Indiana,Monroe County,18105,2010,81.55,80.79,79.56,77.29,76.07,74.75
Indiana,Montgomery County,18107,2010,80.01,80.79,79.56,74.51,76.07,74.75
Indiana,Morgan County,18109,2010,79.64,80.79,79.56,74.19,76.07,74.75
Indiana,Newton County,18111,2010,79.10,80.79,79.56,74.40,76.07,74.75
Indiana,Noble County,18113,2010,79.07,80.79,79.56,74.56,76.07,74.75
Indiana,Ohio County,18115,2010,79.12,80.79,79.56,73.21,76.07,74.75
Indiana,Orange County,18117,2010,79.39,80.79,79.56,72.77,76.07,74.75
Indiana,Owen County,18119,2010,78.58,80.79,79.56,73.30,76.07,74.75
Indiana,Parke County,18121,2010,79.90,80.79,79.56,74.26,76.07,74.75
Indiana,Perry County,18123,2010,79.41,80.79,79.56,75.57,76.07,74.75
Indiana,Pike County,18125,2010,79.68,80.79,79.56,75.04,76.07,74.75
Indiana,Porter County,18127,2010,80.04,80.79,79.56,75.92,76.07,74.75
Indiana,Posey County,18129,2010,81.19,80.79,79.56,75.25,76.07,74.75
Indiana,Pulaski County,18131,2010,78.79,80.79,79.56,74.21,76.07,74.75
Indiana,Putnam County,18133,2010,80.10,80.79,79.56,75.41,76.07,74.75
Indiana,Randolph County,18135,2010,79.82,80.79,79.56,74.97,76.07,74.75
Indiana,Ripley County,18137,2010,79.11,80.79,79.56,75.89,76.07,74.75
Indiana,Rush County,18139,2010,79.00,80.79,79.56,74.52,76.07,74.75
Indiana,St. Joseph County,18141,2010,79.88,80.79,79.56,75.19,76.07,74.75
Indiana,Scott County,18143,2010,76.53,80.79,79.56,71.20,76.07,74.75
Indiana,Shelby County,18145,2010,79.11,80.79,79.56,73.94,76.07,74.75
Indiana,Spencer County,18147,2010,80.93,80.79,79.56,75.56,76.07,74.75
Indiana,Starke County,18149,2010,76.50,80.79,79.56,72.50,76.07,74.75
Indiana,Steuben County,18151,2010,81.30,80.79,79.56,77.09,76.07,74.75
Indiana,Sullivan County,18153,2010,78.63,80.79,79.56,72.62,76.07,74.75
Indiana,Switzerland County,18155,2010,79.12,80.79,79.56,73.21,76.07,74.75
Indiana,Tippecanoe County,18157,2010,80.67,80.79,79.56,76.80,76.07,74.75
Indiana,Tipton County,18159,2010,79.21,80.79,79.56,76.18,76.07,74.75
Indiana,Union County,18161,2010,80.36,80.79,79.56,75.18,76.07,74.75
Indiana,Vanderburgh County,18163,2010,78.97,80.79,79.56,74.57,76.07,74.75
Indiana,Vermillion County,18165,2010,77.97,80.79,79.56,73.58,76.07,74.75
Indiana,Vigo County,18167,2010,78.51,80.79,79.56,73.31,76.07,74.75
Indiana,Wabash County,18169,2010,80.21,80.79,79.56,74.44,76.07,74.75
Indiana,Warren County,18171,2010,80.74,80.79,79.56,74.25,76.07,74.75
Indiana,Warrick County,18173,2010,80.42,80.79,79.56,77.06,76.07,74.75
Indiana,Washington County,18175,2010,77.93,80.79,79.56,72.64,76.07,74.75
Indiana,Wayne County,18177,2010,78.54,80.79,79.56,73.44,76.07,74.75
Indiana,Wells County,18179,2010,81.77,80.79,79.56,76.22,76.07,74.75
Indiana,White County,18181,2010,80.11,80.79,79.56,75.59,76.07,74.75
Indiana,Whitley County,18183,2010,80.66,80.79,79.56,75.97,76.07,74.75
Iowa,Adair County,19001,2010,81.52,80.79,81.23,76.28,76.07,76.68
Iowa,Adams County,19003,2010,80.85,80.79,81.23,76.29,76.07,76.68
Iowa,Allamakee County,19005,2010,81.20,80.79,81.23,77.19,76.07,76.68
Iowa,Appanoose County,19007,2010,80.24,80.79,81.23,74.96,76.07,76.68
Iowa,Audubon County,19009,2010,81.52,80.79,81.23,76.28,76.07,76.68
Iowa,Benton County,19011,2010,81.89,80.79,81.23,77.56,76.07,76.68
Iowa,Black Hawk County,19013,2010,80.72,80.79,81.23,76.66,76.07,76.68
Iowa,Boone County,19015,2010,80.00,80.79,81.23,75.62,76.07,76.68
Iowa,Bremer County,19017,2010,82.95,80.79,81.23,78.71,76.07,76.68
Iowa,Buchanan County,19019,2010,80.78,80.79,81.23,76.89,76.07,76.68
Iowa,Buena Vista County,19021,2010,81.36,80.79,81.23,76.23,76.07,76.68
Iowa,Butler County,19023,2010,82.82,80.79,81.23,76.94,76.07,76.68
Iowa,Calhoun County,19025,2010,81.02,80.79,81.23,77.33,76.07,76.68
Iowa,Carroll County,19027,2010,81.87,80.79,81.23,76.24,76.07,76.68
Iowa,Cass County,19029,2010,81.66,80.79,81.23,76.90,76.07,76.68
Iowa,Cedar County,19031,2010,83.17,80.79,81.23,77.90,76.07,76.68
Iowa,Cerro Gordo County,19033,2010,80.75,80.79,81.23,76.75,76.07,76.68
Iowa,Cherokee County,19035,2010,81.46,80.79,81.23,76.41,76.07,76.68
Iowa,Chickasaw County,19037,2010,82.82,80.79,81.23,76.94,76.07,76.68
Iowa,Clarke County,19039,2010,80.72,80.79,81.23,75.22,76.07,76.68
Iowa,Clay County,19041,2010,81.16,80.79,81.23,77.30,76.07,76.68
Iowa,Clayton County,19043,2010,82.72,80.79,81.23,76.61,76.07,76.68
Iowa,Clinton County,19045,2010,79.72,80.79,81.23,75.52,76.07,76.68
Iowa,Crawford County,19047,2010,80.88,80.79,81.23,76.07,76.07,76.68
Iowa,Dallas County,19049,2010,82.88,80.79,81.23,79.35,76.07,76.68
Iowa,Davis County,19051,2010,80.55,80.79,81.23,76.26,76.07,76.68
Iowa,Decatur County,19053,2010,80.72,80.79,81.23,75.22,76.07,76.68
Iowa,Delaware County,19055,2010,82.43,80.79,81.23,78.89,76.07,76.68
Iowa,Des Moines County,19057,2010,79.86,80.79,81.23,76.62,76.07,76.68
Iowa,Dickinson County,19059,2010,83.70,80.79,81.23,78.24,76.07,76.68
Iowa,Dubuque County,19061,2010,81.36,80.79,81.23,77.64,76.07,76.68
Iowa,Emmet County,19063,2010,81.14,80.79,81.23,76.37,76.07,76.68
Iowa,Fayette County,19065,2010,81.29,80.79,81.23,76.57,76.07,76.68
Iowa,Floyd County,19067,2010,81.27,80.79,81.23,77.62,76.07,76.68
Iowa,Franklin County,19069,2010,81.68,80.79,81.23,77.07,76.07,76.68
Iowa,Fremont County,19071,2010,80.47,80.79,81.23,75.46,76.07,76.68
Iowa,Greene County,19073,2010,81.83,80.79,81.23,76.65,76.07,76.68
Iowa,Grundy County,19075,2010,81.82,80.79,81.23,77.42,76.07,76.68
Iowa,Guthrie County,19077,2010,81.83,80.79,81.23,76.65,76.07,76.68
Iowa,Hamilton County,19079,2010,82.53,80.79,81.23,76.93,76.07,76.68
Iowa,Hancock County,19081,2010,81.68,80.79,81.23,77.07,76.07,76.68
Iowa,Hardin County,19083,2010,81.20,80.79,81.23,76.17,76.07,76.68
Iowa,Harrison County,19085,2010,79.79,80.79,81.23,74.28,76.07,76.68
Iowa,Henry County,19087,2010,81.66,80.79,81.23,76.72,76.07,76.68
Iowa,Howard County,19089,2010,82.43,80.79,81.23,77.81,76.07,76.68
Iowa,Humboldt County,19091,2010,81.96,80.79,81.23,76.68,76.07,76.68
Iowa,Ida County,19093,2010,79.73,80.79,81.23,75.53,76.07,76.68
Iowa,Iowa County,19095,2010,82.34,80.79,81.23,77.59,76.07,76.68
Iowa,Jackson County,19097,2010,81.29,80.79,81.23,76.11,76.07,76.68
Iowa,Jasper County,19099,2010,81.30,80.79,81.23,75.62,76.07,76.68
Iowa,Jefferson County,19101,2010,80.75,80.79,81.23,76.83,76.07,76.68
Iowa,Johnson County,19103,2010,83.46,80.79,81.23,78.30,76.07,76.68
Iowa,Jones County,19105,2010,82.14,80.79,81.23,77.62,76.07,76.68
Iowa,Keokuk County,19107,2010,82.34,80.79,81.23,77.59,76.07,76.68
Iowa,Kossuth County,19109,2010,81.92,80.79,81.23,78.40,76.07,76.68
Iowa,Lee County,19111,2010,79.89,80.79,81.23,74.61,76.07,76.68
Iowa,Linn County,19113,2010,82.09,80.79,81.23,78.17,76.07,76.68
Iowa,Louisa County,19115,2010,81.77,80.79,81.23,76.67,76.07,76.68
Iowa,Lucas County,19117,2010,80.24,80.79,81.23,74.96,76.07,76.68
Iowa,Lyon County,19119,2010,81.45,80.79,81.23,76.96,76.07,76.68
Iowa,Madison County,19121,2010,81.18,80.79,81.23,75.88,76.07,76.68
Iowa,Mahaska County,19123,2010,80.98,80.79,81.23,76.52,76.07,76.68
Iowa,Marion County,19125,2010,81.07,80.79,81.23,76.75,76.07,76.68
Iowa,Marshall County,19127,2010,81.22,80.79,81.23,73.58,76.07,76.68
Iowa,Mills County,19129,2010,80.05,80.79,81.23,75.15,76.07,76.68
Iowa,Mitchell County,19131,2010,82.43,80.79,81.23,77.81,76.07,76.68
Iowa,Monona County,19133,2010,79.73,80.79,81.23,75.53,76.07,76.68
Iowa,Monroe County,19135,2010,80.55,80.79,81.23,76.26,76.07,76.68
Iowa,Montgomery County,19137,2010,80.47,80.79,81.23,75.46,76.07,76.68
Iowa,Muscatine County,19139,2010,80.97,80.79,81.23,76.51,76.07,76.68
Iowa,O'Brien County,19141,2010,81.46,80.79,81.23,76.41,76.07,76.68
Iowa,Osceola County,19143,2010,81.45,80.79,81.23,76.96,76.07,76.68
Iowa,Page County,19145,2010,80.22,80.79,81.23,75.21,76.07,76.68
Iowa,Palo Alto County,19147,2010,81.14,80.79,81.23,76.37,76.07,76.68
Iowa,Plymouth County,19149,2010,82.84,80.79,81.23,78.15,76.07,76.68
Iowa,Pocahontas County,19151,2010,81.96,80.79,81.23,76.68,76.07,76.68
Iowa,Polk County,19153,2010,81.13,80.79,81.23,76.41,76.07,76.68
Iowa,Pottawattamie County,19155,2010,79.88,80.79,81.23,74.67,76.07,76.68
Iowa,Poweshiek County,19157,2010,81.43,80.79,81.23,77.96,76.07,76.68
Iowa,Ringgold County,19159,2010,80.85,80.79,81.23,76.29,76.07,76.68
Iowa,Sac County,19161,2010,81.02,80.79,81.23,77.33,76.07,76.68
Iowa,Scott County,19163,2010,80.78,80.79,81.23,75.83,76.07,76.68
Iowa,Shelby County,19165,2010,81.66,80.79,81.23,76.90,76.07,76.68
Iowa,Sioux County,19167,2010,83.49,80.79,81.23,77.98,76.07,76.68
Iowa,Story County,19169,2010,82.65,80.79,81.23,79.04,76.07,76.68
Iowa,Tama County,19171,2010,81.82,80.79,81.23,77.42,76.07,76.68
Iowa,Taylor County,19173,2010,80.85,80.79,81.23,76.29,76.07,76.68
Iowa,Union County,19175,2010,81.18,80.79,81.23,75.88,76.07,76.68
Iowa,Van Buren County,19177,2010,80.75,80.79,81.23,76.83,76.07,76.68
Iowa,Wapello County,19179,2010,78.98,80.79,81.23,74.26,76.07,76.68
Iowa,Warren County,19181,2010,80.83,80.79,81.23,76.82,76.07,76.68
Iowa,Washington County,19183,2010,81.77,80.79,81.23,76.67,76.07,76.68
Iowa,Wayne County,19185,2010,80.55,80.79,81.23,76.26,76.07,76.68
Iowa,Webster County,19187,2010,78.85,80.79,81.23,75.38,76.07,76.68
Iowa,Winnebago County,19189,2010,82.15,80.79,81.23,76.71,76.07,76.68
Iowa,Winneshiek County,19191,2010,83.67,80.79,81.23,78.56,76.07,76.68
Iowa,Woodbury County,19193,2010,80.06,80.79,81.23,75.73,76.07,76.68
Iowa,Worth County,19195,2010,82.15,80.79,81.23,76.71,76.07,76.68
Iowa,Wright County,19197,2010,81.16,80.79,81.23,76.72,76.07,76.68
Kansas,Allen County,20001,2010,78.54,80.79,80.50,74.52,76.07,75.80
Kansas,Anderson County,20003,2010,82.13,80.79,80.50,75.00,76.07,75.80
Kansas,Atchison County,20005,2010,79.27,80.79,80.50,74.95,76.07,75.80
Kansas,Barber County,20007,2010,80.55,80.79,80.50,75.82,76.07,75.80
Kansas,Barton County,20009,2010,79.89,80.79,80.50,74.91,76.07,75.80
Kansas,Bourbon County,20011,2010,80.11,80.79,80.50,73.66,76.07,75.80
Kansas,Brown County,20013,2010,81.50,80.79,80.50,75.66,76.07,75.80
Kansas,Butler County,20015,2010,79.68,80.79,80.50,75.40,76.07,75.80
Kansas,Chase County,20017,2010,80.60,80.79,80.50,75.99,76.07,75.80
Kansas,Chautauqua County,20019,2010,78.14,80.79,80.50,72.43,76.07,75.80
Kansas,Cherokee County,20021,2010,77.47,80.79,80.50,70.95,76.07,75.80
Kansas,Cheyenne County,20023,2010,80.87,80.79,80.50,75.70,76.07,75.80
Kansas,Clark County,20025,2010,79.73,80.79,80.50,75.22,76.07,75.80
Kansas,Clay County,20027,2010,80.64,80.79,80.50,75.33,76.07,75.80
Kansas,Cloud County,20029,2010,80.64,80.79,80.50,75.33,76.07,75.80
Kansas,Coffey County,20031,2010,82.13,80.79,80.50,75.00,76.07,75.80
Kansas,Comanche County,20033,2010,79.73,80.79,80.50,75.22,76.07,75.80
Kansas,Cowley County,20035,2010,78.49,80.79,80.50,73.45,76.07,75.80
Kansas,Crawford County,20037,2010,78.61,80.79,80.50,73.18,76.07,75.80
Kansas,Decatur County,20039,2010,80.87,80.79,80.50,75.70,76.07,75.80
Kansas,Dickinson County,20041,2010,80.91,80.79,80.50,76.89,76.07,75.80
Kansas,Doniphan County,20043,2010,79.27,80.79,80.50,74.95,76.07,75.80
Kansas,Douglas County,20045,2010,81.67,80.79,80.50,77.68,76.07,75.80
Kansas,Edwards County,20047,2010,80.62,80.79,80.50,74.72,76.07,75.80
Kansas,Elk County,20049,2010,78.14,80.79,80.50,72.43,76.07,75.80
Kansas,Ellis County,20051,2010,80.77,80.79,80.50,76.55,76.07,75.80
Kansas,Ellsworth County,20053,2010,80.39,80.79,80.50,74.84,76.07,75.80
Kansas,Finney County,20055,2010,80.40,80.79,80.50,75.82,76.07,75.80
Kansas,Ford County,20057,2010,79.73,80.79,80.50,75.22,76.07,75.80
Kansas,Franklin County,20059,2010,79.69,80.79,80.50,74.28,76.07,75.80
Kansas,Geary County,20061,2010,78.65,80.79,80.50,73.17,76.07,75.80
Kansas,Gove County,20063,2010,80.93,80.79,80.50,76.74,76.07,75.80
Kansas,Graham County,20065,2010,80.93,80.79,80.50,76.74,76.07,75.80
Kansas,Grant County,20067,2010,80.32,80.79,80.50,75.79,76.07,75.80
Kansas,Gray County,20069,2010,80.40,80.79,80.50,75.82,76.07,75.80
Kansas,Greeley County,20071,2010,80.22,80.79,80.50,76.74,76.07,75.80
Kansas,Greenwood County,20073,2010,80.60,80.79,80.50,75.99,76.07,75.80
Kansas,Hamilton County,20075,2010,80.22,80.79,80.50,76.74,76.07,75.80
Kansas,Harper County,20077,2010,80.55,80.79,80.50,75.82,76.07,75.80
Kansas,Harvey County,20079,2010,81.32,80.79,80.50,77.33,76.07,75.80
Kansas,Haskell County,20081,2010,80.40,80.79,80.50,75.82,76.07,75.80
Kansas,Hodgeman County,20083,2010,81.65,80.79,80.50,76.81,76.07,75.80
Kansas,Jackson County,20085,2010,80.96,80.79,80.50,75.52,76.07,75.80
Kansas,Jefferson County,20087,2010,80.33,80.79,80.50,76.13,76.07,75.80
Kansas,Jewell County,20089,2010,81.51,80.79,80.50,76.54,76.07,75.80
Kansas,Johnson County,20091,2010,83.04,80.79,80.50,79.42,76.07,75.80
Kansas,Kearny County,20093,2010,80.32,80.79,80.50,75.79,76.07,75.80
Kansas,Kingman County,20095,2010,80.55,80.79,80.50,75.82,76.07,75.80
Kansas,Kiowa County,20097,2010,79.73,80.79,80.50,75.22,76.07,75.80
Kansas,Labette County,20099,2010,79.16,80.79,80.50,73.64,76.07,75.80
Kansas,Lane County,20101,2010,80.22,80.79,80.50,76.74,76.07,75.80
Kansas,Leavenworth County,20103,2010,80.54,80.79,80.50,75.66,76.07,75.80
Kansas,Lincoln County,20105,2010,80.39,80.79,80.50,74.84,76.07,75.80
Kansas,Linn County,20107,2010,78.54,80.79,80.50,74.52,76.07,75.80
Kansas,Logan County,20109,2010,80.93,80.79,80.50,76.74,76.07,75.80
Kansas,Lyon County,20111,2010,80.67,80.79,80.50,75.77,76.07,75.80
Kansas,McPherson County,20113,2010,81.00,80.79,80.50,76.08,76.07,75.80
Kansas,Marion County,20115,2010,80.91,80.79,80.50,76.89,76.07,75.80
Kansas,Marshall County,20117,2010,81.33,80.79,80.50,76.65,76.07,75.80
Kansas,Meade County,20119,2010,79.73,80.79,80.50,75.22,76.07,75.80
Kansas,Miami County,20121,2010,80.40,80.79,80.50,75.76,76.07,75.80
Kansas,Mitchell County,20123,2010,80.30,80.79,80.50,75.42,76.07,75.80
Kansas,Montgomery County,20125,2010,78.14,80.79,80.50,72.43,76.07,75.80
Kansas,Morris County,20127,2010,80.60,80.79,80.50,75.99,76.07,75.80
Kansas,Morton County,20129,2010,80.32,80.79,80.50,75.79,76.07,75.80
Kansas,Nemaha County,20131,2010,81.50,80.79,80.50,75.66,76.07,75.80
Kansas,Neosho County,20133,2010,79.42,80.79,80.50,74.18,76.07,75.80
Kansas,Ness County,20135,2010,81.65,80.79,80.50,76.81,76.07,75.80
Kansas,Norton County,20137,2010,80.93,80.79,80.50,76.74,76.07,75.80
Kansas,Osage County,20139,2010,80.69,80.79,80.50,74.96,76.07,75.80
Kansas,Osborne County,20141,2010,81.51,80.79,80.50,76.54,76.07,75.80
Kansas,Ottawa County,20143,2010,80.30,80.79,80.50,75.42,76.07,75.80
Kansas,Pawnee County,20145,2010,81.65,80.79,80.50,76.81,76.07,75.80
Kansas,Phillips County,20147,2010,80.93,80.79,80.50,76.74,76.07,75.80
Kansas,Pottawatomie County,20149,2010,80.96,80.79,80.50,75.52,76.07,75.80
Kansas,Pratt County,20151,2010,80.07,80.79,80.50,74.80,76.07,75.80
Kansas,Rawlins County,20153,2010,80.87,80.79,80.50,75.70,76.07,75.80
Kansas,Reno County,20155,2010,80.07,80.79,80.50,74.80,76.07,75.80
Kansas,Republic County,20157,2010,81.33,80.79,80.50,76.65,76.07,75.80
Kansas,Rice County,20159,2010,80.62,80.79,80.50,74.72,76.07,75.80
Kansas,Riley County,20161,2010,82.27,80.79,80.50,78.33,76.07,75.80
Kansas,Rooks County,20163,2010,81.51,80.79,80.50,76.54,76.07,75.80
Kansas,Rush County,20165,2010,81.65,80.79,80.50,76.81,76.07,75.80
Kansas,Russell County,20167,2010,80.39,80.79,80.50,74.84,76.07,75.80
Kansas,Saline County,20169,2010,80.30,80.79,80.50,75.42,76.07,75.80
Kansas,Scott County,20171,2010,80.22,80.79,80.50,76.74,76.07,75.80
Kansas,Sedgwick County,20173,2010,79.76,80.79,80.50,75.39,76.07,75.80
Kansas,Seward County,20175,2010,79.62,80.79,80.50,74.02,76.07,75.80
Kansas,Shawnee County,20177,2010,80.41,80.79,80.50,74.73,76.07,75.80
Kansas,Sheridan County,20179,2010,80.93,80.79,80.50,76.74,76.07,75.80
Kansas,Sherman County,20181,2010,80.87,80.79,80.50,75.70,76.07,75.80
Kansas,Smith County,20183,2010,81.51,80.79,80.50,76.54,76.07,75.80
Kansas,Stafford County,20185,2010,80.62,80.79,80.50,74.72,76.07,75.80
Kansas,Stanton County,20187,2010,80.22,80.79,80.50,76.74,76.07,75.80
Kansas,Stevens County,20189,2010,80.32,80.79,80.50,75.79,76.07,75.80
Kansas,Sumner County,20191,2010,79.24,80.79,80.50,73.89,76.07,75.80
Kansas,Thomas County,20193,2010,80.87,80.79,80.50,75.70,76.07,75.80
Kansas,Trego County,20195,2010,80.93,80.79,80.50,76.74,76.07,75.80
Kansas,Wabaunsee County,20197,2010,80.69,80.79,80.50,74.96,76.07,75.80
Kansas,Wallace County,20199,2010,80.22,80.79,80.50,76.74,76.07,75.80
Kansas,Washington County,20201,2010,81.33,80.79,80.50,76.65,76.07,75.80
Kansas,Wichita County,20203,2010,80.22,80.79,80.50,76.74,76.07,75.80
Kansas,Wilson County,20205,2010,79.42,80.79,80.50,74.18,76.07,75.80
Kansas,Woodson County,20207,2010,79.42,80.79,80.50,74.18,76.07,75.80
Kansas,Wyandotte County,20209,2010,77.73,80.79,80.50,71.78,76.07,75.80
Kentucky,Adair County,21001,2010,78.47,80.79,78.20,73.56,76.07,73.16
Kentucky,Allen County,21003,2010,76.73,80.79,78.20,72.24,76.07,73.16
Kentucky,Anderson County,21005,2010,78.69,80.79,78.20,74.88,76.07,73.16
Kentucky,Ballard County,21007,2010,78.51,80.79,78.20,72.12,76.07,73.16
Kentucky,Barren County,21009,2010,79.21,80.79,78.20,73.19,76.07,73.16
Kentucky,Bath County,21011,2010,77.65,80.79,78.20,70.58,76.07,73.16
Kentucky,Bell County,21013,2010,74.94,80.79,78.20,68.76,76.07,73.16
Kentucky,Boone County,21015,2010,80.43,80.79,78.20,75.51,76.07,73.16
Kentucky,Bourbon County,21017,2010,79.08,80.79,78.20,72.40,76.07,73.16
Kentucky,Boyd County,21019,2010,77.25,80.79,78.20,72.79,76.07,73.16
Kentucky,Boyle County,21021,2010,78.70,80.79,78.20,74.77,76.07,73.16
Kentucky,Bracken County,21023,2010,76.57,80.79,78.20,72.04,76.07,73.16
Kentucky,Breathitt County,21025,2010,75.29,80.79,78.20,67.50,76.07,73.16
Kentucky,Breckinridge County,21027,2010,78.63,80.79,78.20,73.46,76.07,73.16
Kentucky,Bullitt County,21029,2010,80.16,80.79,78.20,75.61,76.07,73.16
Kentucky,Butler County,21031,2010,78.25,80.79,78.20,73.03,76.07,73.16
Kentucky,Caldwell County,21033,2010,77.01,80.79,78.20,73.41,76.07,73.16
Kentucky,Calloway County,21035,2010,79.64,80.79,78.20,73.93,76.07,73.16
Kentucky,Campbell County,21037,2010,78.75,80.79,78.20,74.70,76.07,73.16
Kentucky,Carlisle County,21039,2010,78.51,80.79,78.20,72.12,76.07,73.16
Kentucky,Carroll County,21041,2010,77.61,80.79,78.20,73.15,76.07,73.16
Kentucky,Carter County,21043,2010,77.55,80.79,78.20,70.93,76.07,73.16
Kentucky,Casey County,21045,2010,76.49,80.79,78.20,71.02,76.07,73.16
Kentucky,Christian County,21047,2010,77.71,80.79,78.20,72.18,76.07,73.16
Kentucky,Clark County,21049,2010,77.59,80.79,78.20,73.41,76.07,73.16
Kentucky,Clay County,21051,2010,74.12,80.79,78.20,68.70,76.07,73.16
Kentucky,Clinton County,21053,2010,77.32,80.79,78.20,71.22,76.07,73.16
Kentucky,Crittenden County,21055,2010,78.08,80.79,78.20,73.59,76.07,73.16
Kentucky,Cumberland County,21057,2010,77.32,80.79,78.20,71.22,76.07,73.16
Kentucky,Daviess County,21059,2010,78.90,80.79,78.20,74.31,76.07,73.16
Kentucky,Edmonson County,21061,2010,78.25,80.79,78.20,73.03,76.07,73.16
Kentucky,Elliott County,21063,2010,76.97,80.79,78.20,72.13,76.07,73.16
Kentucky,Estill County,21065,2010,76.16,80.79,78.20,69.85,76.07,73.16
Kentucky,Fayette County,21067,2010,80.04,80.79,78.20,76.15,76.07,73.16
Kentucky,Fleming County,21069,2010,77.65,80.79,78.20,70.58,76.07,73.16
Kentucky,Floyd County,21071,2010,76.23,80.79,78.20,66.59,76.07,73.16
Kentucky,Franklin County,21073,2010,78.62,80.79,78.20,74.48,76.07,73.16
Kentucky,Fulton County,21075,2010,77.88,80.79,78.20,72.41,76.07,73.16
Kentucky,Gallatin County,21077,2010,77.14,80.79,78.20,72.70,76.07,73.16
Kentucky,Garrard County,21079,2010,79.21,80.79,78.20,73.87,76.07,73.16
Kentucky,Grant County,21081,2010,77.14,80.79,78.20,72.70,76.07,73.16
Kentucky,Graves County,21083,2010,77.88,80.79,78.20,72.41,76.07,73.16
Kentucky,Grayson County,21085,2010,77.26,80.79,78.20,72.01,76.07,73.16
Kentucky,Green County,21087,2010,78.14,80.79,78.20,72.60,76.07,73.16
Kentucky,Greenup County,21089,2010,78.28,80.79,78.20,72.76,76.07,73.16
Kentucky,Hancock County,21091,2010,78.63,80.79,78.20,73.46,76.07,73.16
Kentucky,Hardin County,21093,2010,78.58,80.79,78.20,74.04,76.07,73.16
Kentucky,Harlan County,21095,2010,74.86,80.79,78.20,68.10,76.07,73.16
Kentucky,Harrison County,21097,2010,77.43,80.79,78.20,71.74,76.07,73.16
Kentucky,Hart County,21099,2010,79.00,80.79,78.20,72.99,76.07,73.16
Kentucky,Henderson County,21101,2010,77.31,80.79,78.20,72.79,76.07,73.16
Kentucky,Henry County,21103,2010,78.31,80.79,78.20,72.03,76.07,73.16
Kentucky,Hickman County,21105,2010,77.88,80.79,78.20,72.41,76.07,73.16
Kentucky,Hopkins County,21107,2010,77.18,80.79,78.20,72.42,76.07,73.16
Kentucky,Jackson County,21109,2010,76.16,80.79,78.20,69.85,76.07,73.16
Kentucky,Jefferson County,21111,2010,79.08,80.79,78.20,74.17,76.07,73.16
Kentucky,Jessamine County,21113,2010,79.27,80.79,78.20,74.59,76.07,73.16
Kentucky,Johnson County,21115,2010,75.55,80.79,78.20,69.65,76.07,73.16
Kentucky,Kenton County,21117,2010,78.55,80.79,78.20,74.18,76.07,73.16
